SPASE URL,DOI
https://spase-metadata.org/NASA/NumericalData/ACE/EPAM/LEFS_LEMS/MFSA/SolarWindFrame/SpinAveraged/Electron/Fluxes/P1D,10.48322/qb98-a305
https://spase-metadata.org/NASA/NumericalData/ACE/EPAM/LEFS_LEMS/MFSA/SolarWindFrame/SpinAveraged/Electron/Fluxes/PT17M,10.48322/2fj4-8b42
https://spase-metadata.org/NASA/NumericalData/ACE/EPAM/LEFS_LEMS/MFSA/SolarWindFrame/SpinAveraged/Electron/Fluxes/PT1H,10.48322/mqq9-a859
https://spase-metadata.org/NASA/NumericalData/ACE/EPAM/LEFS_LEMS/MFSA/SolarWindFrame/SpinAveraged/HeavyIon/Fluxes/P1D,10.48322/4mnm-gj43
https://spase-metadata.org/NASA/NumericalData/ACE/EPAM/LEFS_LEMS/MFSA/SolarWindFrame/SpinAveraged/HeavyIon/Fluxes/PT17M,10.48322/rrq6-jw14
https://spase-metadata.org/NASA/NumericalData/ACE/EPAM/LEFS_LEMS/MFSA/SolarWindFrame/SpinAveraged/HeavyIon/Fluxes/PT1H,10.48322/qyrw-b541
https://spase-metadata.org/NASA/NumericalData/ACE/EPAM/LEFS_LEMS/MFSA/SolarWindFrame/SpinAveraged/Proton/Fluxes/P1D,10.48322/emvh-t880
https://spase-metadata.org/NASA/NumericalData/ACE/EPAM/LEFS_LEMS/MFSA/SolarWindFrame/SpinAveraged/Proton/Fluxes/PT17M,10.48322/n58k-1690
https://spase-metadata.org/NASA/NumericalData/ACE/EPAM/LEFS_LEMS/MFSA/SolarWindFrame/SpinAveraged/Proton/Fluxes/PT1H,10.48322/x6kn-gn69
https://spase-metadata.org/NASA/NumericalData/ACE/EPAM/LEFS_LEMS/MFSA/SpacecraftFrame/SpinAveraged/Electron/Fluxes/P1D,10.48322/3b0k-sc30
https://spase-metadata.org/NASA/NumericalData/ACE/EPAM/LEFS_LEMS/MFSA/SpacecraftFrame/SpinAveraged/Electron/Fluxes/PT17M,10.48322/tzch-ty48
https://spase-metadata.org/NASA/NumericalData/ACE/EPAM/LEFS_LEMS/MFSA/SpacecraftFrame/SpinAveraged/Electron/Fluxes/PT1H,10.48322/n8em-hc02
https://spase-metadata.org/NASA/NumericalData/ACE/EPAM/LEFS_LEMS/MFSA/SpacecraftFrame/SpinAveraged/HeavyIon/Fluxes/P1D,10.48322/r2j1-5148
